,index,CommID,FIPSPL,Name,CAT,QOLjobs_vg,QOLjobs_g,QOLjobs_f,QOLjobs_p,QOLjobs_dnk,QOLjobs_na,QOLmed_vg,QOLmed_g,QOLmed_f,QOLmed_p,QOLmed_dnk,QOLmed_na,QOLk12_vg,QOLk12_g,QOLk12_f,QOLk12_p,QOLk12_dnk,QOLk12_na,QOLhousing_vg,QOLhousing_g,QOLhousing_f,QOLhousing_p,QOLhousing_dnk,QOLhousing_na,QOLshop_vg,QOLshop_g,QOLshop_f,QOLshop_p,QOLshop_dnk,QOLshop_na,QOLchildcare_vg,QOLchildcare_g,QOLchildcare_f,QOLchildcare_p,QOLchildcare_dnk,QOLchildcare_na,QOLseniorcare_vg,QOLseniorcare_g,QOLseniorcare_f,QOLseniorcare_p,QOLseniorcare_dnk,QOLseniorcare_na,QOLyouth_vg,QOLyouth_g,QOLyouth_f,QOLyouth_p,QOLyouth_dnk,QOLyouth_na,QOLcommsrvall_vg,QOLcommsrvall_g,QOLcommsrvall_f,QOLcommsrvall_p,QOLcommsrvall_dnk,QOLcommsrvall_na,QOLrecrentr_vg,QOLrecrentr_g,QOLrecrentr_f,QOLrecrentr_p,QOLrecrentr_dnk,QOLrecrentr_na,QOLpolice_vg,QOLpolice_g,QOLpolice_f,QOLpolice_p,QOLpolice_dnk,QOLpolice_na,QOLfire_vg,QOLfire_g,QOLfire_f,QOLfire_p,QOLfire_dnk,QOLfire_na,QOLems_vg,QOLems_g,QOLems_f,QOLems_p,QOLems_dnk,QOLems_na,QOLstreets_vg,QOLstreets_g,QOLstreets_f,QOLstreets_p,QOLstreets_dnk,QOLstreets_na,QOLparks_vg,QOLparks_g,QOLparks_f,QOLparks_p,QOLparks_dnk,QOLparks_na,QOLgarbage_vg,QOLgarbage_g,QOLgarbage_f,QOLgarbage_p,QOLgarbage_dnk,QOLgarbage_na,QOLwater_vg,QOLwater_g,QOLwater_f,QOLwater_p,QOLwater_dnk,QOLwater_na,QOLgovtsrvall_vg,QOLgovtsrvall_g,QOLgovtsrvall_f,QOLgovtsrvall_p,QOLgovtsrvall_dnk,QOLgovtsrvall_na
0,303,1.0,1900595,Afton,AGE3,3.13,3.13,44.759,12.519,30.204,6.259,0.0,5.464,0.0,8.196,15.438,70.902,64.461,6.462,22.615,3.231,3.231,0.0,0.0,27.949,65.59,0.0,6.462,0.0,0.0,32.714,17.687,15.956,2.659,30.984,0.0,43.695,13.816,3.454,39.035,0.0,2.659,28.324,38.033,5.319,23.005,2.659,6.462,15.026,27.949,9.692,31.179,9.692,5.464,33.608,50.0,10.928,0.0,0.0,20.443,28.385,20.003,5.343,10.155,15.671,30.876,44.536,16.392,8.196,0.0,0.0,65.438,29.098,2.732,2.732,0.0,0.0,75.412,19.124,0.0,5.464,0.0,0.0,5.464,36.34,47.268,10.928,0.0,0.0,46.314,42.758,8.196,2.732,0.0,0.0,34.41,46.205,12.923,0.0,3.231,3.231,65.574,25.037,6.259,3.13,0.0,0.0,21.487,37.641,9.692,9.692,0.0,21.487
1,304,2.0,1900640,Agency,AGE3,0.0,0.0,5.465,15.549,33.184,45.802,0.0,4.229,0.0,2.501,10.959,82.31,45.341,22.244,0.0,0.0,27.756,4.659,11.322,35.136,9.203,0.0,29.95,14.389,0.0,4.229,5.002,6.73,13.461,70.578,0.0,2.682,0.0,2.682,27.011,67.625,2.501,2.501,12.506,8.458,18.463,55.571,2.545,2.545,15.271,0.0,39.334,40.305,7.635,25.636,23.091,0.0,24.849,18.788,2.556,8.742,11.262,1.627,12.501,63.313,4.229,20.964,25.193,4.229,15.962,29.422,62.251,35.138,0.0,0.0,2.612,0.0,54.003,27.21,2.545,0.0,16.242,0.0,22.138,46.717,22.138,2.44,6.566,0.0,50.97,31.103,2.809,2.809,12.308,0.0,58.529,25.485,0.0,0.0,15.986,0.0,59.88,30.727,4.304,2.545,2.545,0.0,32.375,19.795,2.682,0.0,42.467,2.682
2,305,3.0,1900730,Ainsworth,AGE3,0.0,3.039,16.065,25.181,33.574,22.142,0.0,5.048,0.0,2.865,5.048,87.039,20.292,48.277,8.354,4.907,15.385,2.785,0.0,26.686,48.175,8.847,13.343,2.949,0.0,0.0,2.865,10.777,0.0,86.358,8.394,10.71,6.077,8.394,54.994,11.432,0.0,5.898,23.737,2.949,21.489,45.927,0.0,19.103,29.813,6.077,25.181,19.826,5.523,42.538,28.359,14.179,3.134,6.268,8.662,31.367,9.079,6.414,2.715,41.763,7.692,33.554,37.799,0.0,15.385,5.57,44.031,50.399,2.785,0.0,0.0,2.785,45.548,46.324,5.419,0.0,0.0,2.709,16.506,49.659,20.192,7.913,2.865,2.865,22.19,53.372,10.394,0.0,11.095,2.949,21.035,16.446,14.074,0.0,17.185,31.26,15.084,37.932,8.333,8.333,13.65,16.667,0.0,47.001,9.4,3.403,36.792,3.403
3,306,4.0,1900865,Albert City,AGE3,3.514,13.866,41.406,13.866,27.349,0.0,0.0,2.907,2.907,19.873,0.0,74.313,51.459,21.1,18.35,3.086,6.005,0.0,3.395,23.58,36.605,3.395,26.42,6.605,0.0,2.994,29.45,35.112,0.0,32.444,3.635,10.905,35.757,0.0,38.996,10.707,5.988,17.637,14.807,20.468,5.825,35.275,0.0,22.119,15.75,18.588,30.979,12.565,6.79,23.395,56.42,3.395,6.605,3.395,2.125,14.454,9.346,19.757,6.005,48.313,31.74,39.201,15.943,2.682,5.217,5.217,70.291,24.349,0.0,0.0,0.0,5.361,48.544,48.544,0.0,0.0,2.911,0.0,29.205,39.347,26.231,0.0,0.0,5.217,47.325,44.342,2.829,0.0,0.0,5.504,44.564,13.859,2.833,2.833,30.397,5.513,24.649,32.315,5.361,2.755,29.56,5.361,31.499,43.544,6.369,0.0,12.392,6.196
4,307,5.0,1900910,Albia,AGE3,12.896,20.412,39.794,5.38,21.519,0.0,33.645,50.903,15.452,0.0,0.0,0.0,58.872,29.917,0.0,0.0,4.677,6.534,10.007,23.988,55.997,0.0,10.007,0.0,4.277,11.95,37.61,41.887,4.277,0.0,8.422,46.986,6.028,0.0,38.564,0.0,14.296,34.268,27.611,9.53,14.296,0.0,31.171,29.035,23.655,10.759,5.38,0.0,0.0,30.355,69.645,0.0,0.0,0.0,20.487,41.386,26.992,5.154,2.56,3.421,52.938,31.107,15.956,0.0,0.0,0.0,38.605,57.005,0.0,0.0,4.39,0.0,44.739,50.872,0.0,0.0,4.39,0.0,16.656,14.913,59.651,8.78,0.0,0.0,34.216,57.005,4.39,0.0,4.39,0.0,45.392,44.527,10.08,0.0,0.0,0.0,49.128,40.349,10.523,0.0,0.0,0.0,26.604,57.799,6.415,0.0,9.183,0.0
5,308,6.0,1900955,Albion,AGE3,4.37,16.504,31.311,10.437,19.177,18.202,0.0,8.758,5.091,5.091,0.0,81.061,0.0,12.017,0.0,12.017,26.681,49.285,9.091,34.036,34.885,9.091,12.897,0.0,0.0,0.0,19.66,15.854,0.0,64.486,0.0,4.445,30.125,6.172,30.125,29.133,0.0,17.515,26.273,0.0,31.364,24.848,0.0,27.665,19.501,5.668,23.583,23.583,0.0,38.41,36.909,3.863,16.954,3.863,2.985,3.732,14.362,7.183,5.87,65.868,17.131,27.09,15.738,12.152,15.738,12.152,51.393,38.648,4.979,0.0,4.979,0.0,52.786,38.648,3.586,0.0,4.979,0.0,25.697,48.607,20.717,0.0,4.979,0.0,25.697,60.759,4.979,0.0,8.566,0.0,46.414,25.697,3.586,0.0,20.717,3.586,42.828,40.041,3.586,4.979,8.566,0.0,22.658,25.705,22.658,0.0,21.135,7.844
6,309,7.0,1901270,Allerton,AGE3,4.345,8.691,32.618,41.309,0.0,13.036,31.26,0.0,0.0,12.493,0.0,56.247,12.493,39.589,0.0,4.164,4.164,39.589,0.0,22.714,34.1,38.643,4.543,0.0,4.345,0.0,0.0,36.964,0.0,58.691,13.036,4.345,23.927,32.618,8.691,17.382,12.493,0.0,70.849,4.164,4.164,8.329,0.0,8.329,54.191,8.329,8.329,20.822,4.164,35.424,43.753,8.329,4.164,4.164,2.902,20.398,17.045,8.47,5.623,45.56,11.994,19.99,42.004,26.012,0.0,0.0,72.014,27.986,0.0,0.0,0.0,0.0,88.006,11.994,0.0,0.0,0.0,0.0,0.0,7.689,19.221,73.09,0.0,0.0,15.992,53.998,30.01,0.0,0.0,0.0,80.01,19.99,0.0,0.0,0.0,0.0,42.004,31.984,26.012,0.0,0.0,0.0,19.99,38.006,30.01,0.0,7.996,3.998
7,310,8.0,1901630,Altoona,AGE3,0.0,43.74,16.667,0.0,29.187,10.406,26.074,53.62,4.355,0.0,15.95,0.0,50.0,28.109,4.695,0.0,17.195,0.0,31.023,50.0,0.0,5.182,13.795,0.0,7.24,39.14,42.025,7.24,4.355,0.0,8.92,19.652,0.0,0.0,57.143,14.286,9.793,21.576,5.892,5.892,47.054,9.793,0.0,51.777,0.0,0.0,39.304,8.92,8.711,60.86,11.595,0.0,18.835,0.0,24.776,41.871,12.441,0.0,15.416,5.496,61.083,15.285,8.347,0.0,15.285,0.0,44.444,29.16,4.174,0.0,22.222,0.0,50.736,18.835,4.355,0.0,26.074,0.0,15.139,75.754,9.107,0.0,0.0,0.0,44.909,46.38,4.355,0.0,4.355,0.0,73.604,22.222,4.174,0.0,0.0,0.0,44.909,42.025,13.066,0.0,0.0,0.0,48.414,37.5,4.695,0.0,9.391,0.0
8,311,9.0,1902260,Anita,AGE3,0.0,4.214,28.928,9.339,49.09,8.429,22.245,58.317,11.509,4.351,3.579,0.0,55.144,28.176,4.17,0.0,12.51,0.0,8.159,36.318,31.841,0.0,20.0,3.682,3.682,40.0,31.841,20.0,0.0,4.477,19.939,33.058,8.471,0.0,30.887,7.645,3.551,21.307,22.841,15.739,24.375,12.187,3.551,25.625,18.523,4.318,44.432,3.551,25.0,32.774,37.5,4.726,0.0,0.0,41.924,39.587,3.598,4.375,6.835,3.682,6.859,22.058,29.657,27.709,3.429,10.288,79.943,20.057,0.0,0.0,0.0,0.0,76.392,19.29,4.318,0.0,0.0,0.0,22.841,47.216,18.523,11.42,0.0,0.0,47.545,48.285,0.0,0.0,4.17,0.0,72.841,12.187,0.0,0.0,7.102,7.869,44.115,41.427,11.029,3.429,0.0,0.0,27.583,39.519,8.224,9.026,15.647,0.0
9,312,10.0,1903475,Atkins,AGE3,0.0,4.608,16.065,10.336,54.047,14.944,36.31,32.976,20.833,0.0,9.881,0.0,45.717,24.768,3.818,0.0,17.131,8.566,42.668,36.592,4.888,0.0,10.964,4.888,0.0,4.66,9.32,31.36,10.453,44.207,10.964,10.964,9.775,6.077,57.332,4.888,0.0,5.075,6.31,46.776,26.612,15.226,20.672,25.28,0.0,0.0,40.224,13.823,8.438,41.049,21.095,20.981,4.219,4.219,4.515,9.749,16.073,18.867,21.389,29.408,7.637,33.333,24.768,14.241,8.566,11.455,78.982,16.035,0.0,0.0,4.984,0.0,82.869,4.747,0.0,0.0,12.384,0.0,8.566,56.244,12.384,14.241,4.747,3.818,32.405,45.717,8.566,0.0,9.494,3.818,41.899,40.97,0.0,0.0,13.313,3.818,32.405,24.768,12.384,9.494,17.131,3.818,25.751,40.665,19.742,0.0,13.841,0.0
10,313,11.0,1903655,Audubon,AGE3,0.0,24.263,21.429,28.571,25.737,0.0,40.317,24.339,13.333,15.344,6.667,0.0,45.949,42.326,3.908,0.0,7.817,0.0,11.798,29.494,27.715,7.678,23.315,0.0,3.992,16.553,44.791,24.537,10.127,0.0,6.389,25.862,13.083,8.316,44.118,2.231,6.134,34.664,36.806,10.127,10.127,2.142,4.08,16.915,23.184,14.428,35.124,6.269,0.0,32.251,27.485,15.01,25.254,0.0,5.497,26.26,27.456,14.226,16.89,9.669,33.106,50.925,7.984,0.0,7.984,0.0,55.209,30.672,3.992,0.0,10.127,0.0,67.478,22.395,0.0,0.0,10.127,0.0,6.134,32.814,34.664,18.403,7.984,0.0,13.858,56.929,7.678,7.959,13.577,0.0,39.204,37.91,0.0,2.189,14.428,6.269,34.958,24.17,15.042,10.788,15.042,0.0,24.537,45.083,6.134,6.134,18.111,0.0
11,314,12.0,1904420,Bancroft,AGE3,0.0,38.455,31.536,0.0,12.309,17.7,63.073,26.146,5.391,0.0,5.391,0.0,10.084,6.471,6.471,5.042,17.983,53.95,5.391,63.073,12.309,0.0,13.836,5.391,16.555,46.05,25.882,11.513,0.0,0.0,21.91,56.181,6.564,5.115,0.0,10.23,31.52,45.2,17.12,0.0,6.16,0.0,36.488,6.564,16.795,11.679,11.679,16.795,31.062,44.69,12.124,12.124,0.0,0.0,34.187,41.028,9.144,3.906,4.388,7.347,33.781,50.671,10.813,0.0,0.0,4.736,74.83,25.17,0.0,0.0,0.0,0.0,73.549,26.451,0.0,0.0,0.0,0.0,4.098,23.975,33.333,38.593,0.0,0.0,42.577,41.296,11.605,4.521,0.0,0.0,52.013,27.703,0.0,0.0,10.813,9.471,30.972,36.775,17.408,0.0,5.803,9.043,28.785,40.0,18.411,0.0,7.196,5.607
