CommID,FIPSPL,Name,CAT,QOLjobs_vg,QOLjobs_g,QOLjobs_f,QOLjobs_p,QOLjobs_dnk,QOLjobs_na,QOLmed_vg,QOLmed_g,QOLmed_f,QOLmed_p,QOLmed_dnk,QOLmed_na,QOLk12_vg,QOLk12_g,QOLk12_f,QOLk12_p,QOLk12_dnk,QOLk12_na,QOLhousing_vg,QOLhousing_g,QOLhousing_f,QOLhousing_p,QOLhousing_dnk,QOLhousing_na,QOLshop_vg,QOLshop_g,QOLshop_f,QOLshop_p,QOLshop_dnk,QOLshop_na,QOLchildcare_vg,QOLchildcare_g,QOLchildcare_f,QOLchildcare_p,QOLchildcare_dnk,QOLchildcare_na,QOLseniorcare_vg,QOLseniorcare_g,QOLseniorcare_f,QOLseniorcare_p,QOLseniorcare_dnk,QOLseniorcare_na,QOLyouth_vg,QOLyouth_g,QOLyouth_f,QOLyouth_p,QOLyouth_dnk,QOLyouth_na,QOLcommsrvall_vg,QOLcommsrvall_g,QOLcommsrvall_f,QOLcommsrvall_p,QOLcommsrvall_dnk,QOLcommsrvall_na,QOLrecrentr_vg,QOLrecrentr_g,QOLrecrentr_f,QOLrecrentr_p,QOLrecrentr_dnk,QOLrecrentr_na,QOLpolice_vg,QOLpolice_g,QOLpolice_f,QOLpolice_p,QOLpolice_dnk,QOLpolice_na,QOLfire_vg,QOLfire_g,QOLfire_f,QOLfire_p,QOLfire_dnk,QOLfire_na,QOLems_vg,QOLems_g,QOLems_f,QOLems_p,QOLems_dnk,QOLems_na,QOLstreets_vg,QOLstreets_g,QOLstreets_f,QOLstreets_p,QOLstreets_dnk,QOLstreets_na,QOLparks_vg,QOLparks_g,QOLparks_f,QOLparks_p,QOLparks_dnk,QOLparks_na,QOLgarbage_vg,QOLgarbage_g,QOLgarbage_f,QOLgarbage_p,QOLgarbage_dnk,QOLgarbage_na,QOLwater_vg,QOLwater_g,QOLwater_f,QOLwater_p,QOLwater_dnk,QOLwater_na,QOLgovtsrvall_vg,QOLgovtsrvall_g,QOLgovtsrvall_f,QOLgovtsrvall_p,QOLgovtsrvall_dnk,QOLgovtsrvall_na
40.0,1928290,Fontanelle,ALL,5.904,21.798,35.26,20.63,8.544,7.864,7.537,54.371,20.069,12.166,1.525,4.332,38.725,30.753,14.989,4.259,9.647,1.627,1.643,38.646,26.264,11.402,12.384,9.661,1.555,17.383,30.206,30.352,3.109,17.395,5.507,27.621,27.208,1.666,27.928,10.07,2.981,28.707,26.108,6.401,21.074,14.729,4.518,25.452,24.835,8.772,20.872,15.552,5.196,37.553,43.206,8.785,5.261,0.0,0.961,13.664,17.41,14.242,3.934,49.788,21.88,43.564,19.524,5.819,3.177,6.036,59.248,36.469,2.718,0.0,1.565,0.0,57.985,34.547,2.76,0.0,4.708,0.0,8.574,43.862,38.989,8.574,0.0,0.0,43.306,53.319,3.376,0.0,0.0,0.0,33.835,30.924,6.934,4.748,17.386,6.173,29.375,47.503,9.951,10.601,0.0,2.571,18.197,53.091,20.478,1.622,4.99,1.622
41.0,1929280,Fruitland,ALL,5.836,11.691,11.493,19.429,10.037,41.514,0.972,4.266,5.431,1.331,0.0,87.999,19.195,21.696,10.166,1.967,9.769,37.206,27.39,57.364,7.24,0.38,2.335,5.29,0.0,0.378,4.533,0.378,0.966,93.745,4.228,13.582,5.681,8.921,36.206,31.382,7.862,18.212,13.179,7.885,37.247,15.615,2.977,7.064,4.315,15.687,27.651,42.306,9.977,18.664,34.696,14.523,5.977,16.163,2.295,6.914,11.913,8.611,2.219,68.048,20.789,26.627,35.314,11.392,1.963,3.914,43.096,41.173,14.371,0.982,0.0,0.378,35.043,35.443,14.371,0.982,8.856,5.305,15.037,53.224,29.39,0.991,0.0,1.358,48.992,26.211,22.834,0.982,0.982,0.0,45.425,50.645,2.57,0.982,0.0,0.378,29.726,41.368,2.92,0.972,0.375,24.639,20.407,49.303,19.651,1.373,3.332,5.935
42.0,1929910,Garnavillo,ALL,4.698,14.997,33.658,29.136,13.5,4.012,12.958,46.458,20.687,5.893,8.11,5.893,31.237,44.369,16.371,0.0,7.048,0.975,7.869,39.992,25.865,6.876,16.885,2.513,2.047,16.891,33.489,26.774,5.442,15.357,19.518,39.028,12.476,0.0,26.483,2.495,10.423,36.866,16.845,6.699,29.167,0.0,5.831,27.239,23.974,7.269,30.305,5.382,12.59,39.806,35.987,6.825,4.792,0.0,12.479,22.553,16.952,15.409,5.932,26.676,33.476,48.327,12.178,1.497,4.523,0.0,61.048,32.42,2.067,0.0,4.466,0.0,60.266,31.034,1.095,2.133,5.473,0.0,16.11,40.782,36.364,3.234,3.511,0.0,48.968,42.619,5.86,0.0,2.554,0.0,34.293,46.984,2.306,1.324,12.981,2.113,26.543,46.135,6.726,4.967,13.516,2.113,13.405,44.718,13.075,9.039,14.112,5.651
43.0,1930225,George,ALL,2.879,36.946,33.309,8.589,14.109,4.169,16.678,47.59,17.891,4.163,7.708,5.97,43.362,39.932,7.49,1.217,6.686,1.313,5.831,23.317,38.688,16.206,13.848,2.111,5.723,22.829,45.537,9.649,2.698,13.563,5.755,44.532,10.458,8.484,25.132,5.639,4.223,18.029,24.946,17.211,25.104,10.486,5.422,29.708,29.471,11.511,20.698,3.19,4.438,49.474,38.236,2.109,3.634,2.109,10.064,46.425,25.22,4.407,4.668,9.217,31.635,47.275,16.963,2.965,1.163,0.0,60.333,32.096,6.388,0.0,1.183,0.0,69.419,20.988,5.286,0.0,4.307,0.0,6.51,31.436,47.232,12.537,2.285,0.0,28.814,58.888,8.017,1.966,2.314,0.0,48.175,30.149,9.291,0.0,9.926,2.46,21.885,45.955,22.608,2.46,7.093,0.0,19.851,49.201,16.097,3.042,9.255,2.553
44.0,1930675,Gilbertville,ALL,1.48,10.751,21.99,15.608,27.578,22.594,4.214,5.883,5.28,4.659,3.926,76.037,4.326,4.16,1.431,4.16,10.567,75.356,30.997,53.131,11.404,0.0,4.469,0.0,0.0,3.878,3.552,14.159,1.302,77.109,16.009,35.409,8.551,2.011,33.447,4.573,3.389,7.214,15.898,6.248,35.322,31.929,10.027,17.118,13.218,3.379,33.08,23.179,12.506,38.343,28.759,9.861,6.024,4.506,1.619,17.864,13.934,7.829,2.815,55.939,30.198,56.336,10.14,0.0,3.326,0.0,48.066,43.237,2.629,0.0,6.068,0.0,32.168,45.096,8.023,2.629,12.085,0.0,29.891,51.666,15.216,3.228,0.0,0.0,36.311,52.923,9.348,0.0,1.418,0.0,46.562,48.799,2.788,0.0,0.0,1.85,37.37,50.411,4.352,6.017,0.0,1.85,21.64,49.248,15.327,1.421,5.456,6.908
45.0,1931395,Glidden,ALL,1.38,25.844,35.31,15.645,19.047,2.774,3.603,6.295,8.537,21.143,13.556,46.867,49.022,26.939,7.079,0.0,12.301,4.659,7.055,49.107,18.527,3.984,14.259,7.068,6.993,14.249,30.242,29.356,2.813,16.347,17.118,30.078,15.711,1.356,21.493,14.244,0.0,8.174,16.862,2.708,56.242,16.014,10.757,31.887,24.167,4.974,18.296,9.92,6.029,39.179,37.273,7.16,5.103,5.257,8.22,25.692,24.747,9.102,11.453,20.785,6.978,34.187,28.359,2.506,17.023,10.947,56.005,36.75,0.0,0.0,7.246,0.0,55.423,30.745,3.525,0.0,10.306,0.0,17.838,45.043,24.52,2.149,7.936,2.516,37.022,37.177,15.443,0.0,10.357,0.0,38.282,23.685,1.251,2.516,19.308,14.958,16.715,48.498,14.17,2.122,14.773,3.721,23.769,33.164,15.434,0.0,24.805,2.828
46.0,1931710,Gowrie,ALL,3.1,23.532,36.183,13.026,19.551,4.609,33.066,48.418,16.397,0.0,2.119,0.0,37.97,45.852,5.198,1.866,9.114,0.0,5.399,38.183,42.342,2.787,10.092,1.196,3.468,25.014,39.368,23.345,7.859,0.946,17.027,41.272,8.847,0.967,21.181,10.706,10.164,29.878,16.306,0.986,31.0,11.664,3.835,29.338,29.802,6.897,23.202,6.925,13.632,47.347,35.835,0.0,3.187,0.0,7.567,31.315,30.204,12.971,7.818,10.125,22.052,43.67,23.009,3.731,7.538,0.0,59.54,28.78,5.438,0.0,6.243,0.0,55.045,29.917,6.373,0.935,7.729,0.0,9.169,38.149,43.532,7.284,0.919,0.947,29.488,57.117,11.244,0.0,2.151,0.0,38.962,39.651,8.551,0.0,10.392,2.444,34.09,43.564,10.869,4.414,7.063,0.0,24.285,54.027,12.796,0.953,7.939,0.0
47.0,1931800,Graettinger,ALL,7.988,48.853,26.13,13.268,2.476,1.284,9.835,49.807,31.589,7.574,1.196,0.0,45.064,33.95,6.105,5.267,9.615,0.0,2.154,45.269,43.644,3.161,3.693,2.079,2.955,12.704,37.016,33.45,5.368,8.506,18.46,39.492,14.08,0.0,24.575,3.394,6.105,31.294,10.747,9.675,39.525,2.654,12.324,27.624,29.087,9.647,12.438,8.881,11.887,56.843,26.375,0.906,2.593,1.395,15.716,38.341,25.917,4.537,2.998,12.492,10.161,32.933,41.218,14.558,1.13,0.0,54.324,37.927,3.874,3.874,0.0,0.0,52.216,41.868,0.787,0.0,5.13,0.0,4.605,55.125,31.309,7.845,1.116,0.0,25.787,69.346,3.76,0.0,1.107,0.0,57.922,22.875,1.126,3.907,12.958,1.212,23.279,47.682,8.519,6.703,13.816,0.0,21.327,53.151,14.105,0.814,10.603,0.0
48.0,1932025,Grand Mound,ALL,0.0,7.441,14.421,32.96,22.52,22.658,3.013,18.967,1.559,3.054,3.862,69.545,5.428,15.861,5.256,0.0,3.938,69.517,7.238,34.762,31.408,6.553,15.076,4.962,0.0,1.919,2.569,17.476,2.733,75.302,11.941,14.618,23.582,6.196,29.264,14.399,1.921,15.983,12.63,1.254,37.351,30.861,1.121,11.347,17.375,24.378,19.285,26.493,7.009,24.946,29.823,16.339,13.31,8.574,1.377,7.217,16.369,11.642,4.929,58.465,14.132,47.968,28.695,0.0,3.47,5.735,58.68,35.329,0.0,0.0,5.992,0.0,50.806,36.945,1.565,0.0,10.684,0.0,4.016,25.462,47.314,16.315,6.892,0.0,26.11,60.055,10.378,0.0,3.457,0.0,35.205,33.61,4.941,0.0,19.514,6.73,8.062,47.159,19.425,7.359,16.779,1.216,8.563,44.122,17.301,0.721,16.582,12.711
49.0,1933780,Hamburg,ALL,2.13,14.785,49.31,21.789,8.863,3.122,19.139,38.389,29.959,7.915,3.419,1.179,6.939,36.509,29.025,15.934,9.525,2.067,2.946,36.181,38.993,12.666,8.232,0.982,0.955,8.938,13.317,48.477,3.88,24.433,11.74,37.426,16.113,14.152,15.038,5.531,1.949,20.93,15.419,3.243,48.623,9.835,0.0,22.616,32.256,17.127,21.338,6.663,2.042,15.104,62.52,12.783,6.607,0.945,3.124,25.841,22.519,23.345,8.825,16.347,8.491,30.804,37.902,16.062,5.777,0.963,44.578,48.533,2.294,1.124,3.471,0.0,47.808,31.606,2.294,6.916,11.375,0.0,4.282,23.11,57.896,10.475,2.33,1.908,15.245,51.635,23.742,7.003,2.376,0.0,56.084,35.438,1.135,1.135,3.95,2.258,12.739,26.08,26.631,22.182,4.551,7.817,21.276,33.992,30.397,1.195,10.927,2.212
